Material Family,Rate (mm/yr) or Rating,Rate (mils/yr) or Rating,UNS,Temperature (deg C),pH,Salinity (g/L),Humidity (%)
Alloy steel,0.03,1,,,2.3,6.8,61.1
Aluminum bronze,B (Good),B (Good),,,2.6,8.5,67.4
Aluminum bronze,0.05 max ,2 max ,C61300,,0.7,9.6,23.7
Aluminum bronze,0.5 max ,20 max ,C61300,,2.6,1.8,68.6
Brass,C (Questionable),C (Questionable),,,1.1,5.3,33.6
Brass,D (Poor),D (Poor),C26000,,0.7,0.4,25.2
Brass,B (Good),B (Good),C22000,,3.8,5,95.9
Brass,D (Poor),D (Poor),C28000,,3.9,1.3,97.3
Brass,B (Good),B (Good),C23000,,3.3,8.4,84.7
Copper,0.005,0.2,C11000,,1.6,1.1,44.4
Copper,0.483,19,C11000,110-140,0.8,5.1,27.8
Copper,0.066-0.07 ,2.6-2.8 ,C11000,110-140,2.9,5.2,74.7
Copper,0.06,2.4,C11000,30-50,2,9.7,55.2
Copper,0.03,1.2,C11000,30-50,0.9,6.5,29.8
Copper,0.09,3.6,C11000,30-50,2.2,2.9,59.6
Copper,0.09,3.6,C11000,30-50,0.6,2.4,22.8
Silicon bronze,0.213,8.4,C65500,110-140,3.7,1.3,92.7
Copper,0.03 max ,1.2 max ,C11000,,1.4,7.6,40.7
Copper,0.274,10.8,C11000,,2.8,6.9,73
Copper,0.152,6,C11000,,1.6,6.1,44.9
Copper,0.097-0.116 ,3.8-4.4 ,C11000,120,2.3,0.4,61.6
Copper,0.102-0.104 ,4.0-4.1 ,C11000,120,2.4,7.6,63.7
Copper,0.084-0.090 ,3.3-3.6 ,C11000,150,1.1,6.4,34.8
Copper,0.12-0.533 ,4.7-21.0 ,C11000,130-145,3.9,9.6,97.6
Copper,B (Good),B (Good),C11000,,3.2,5.9,82
Copper,B (Good),B (Good),C12200,,3.8,3,95.2
Copper,0.183,7.2,,,3.6,3.8,91.6
Copper,0.12,4.8,,,2.6,1.8,67.8
Copper,0.183,7.2,,,3.7,7.2,93.7
Copper,0.12,4.8,,,0.8,7.1,27.1
Copper,0.03 max ,1.2 max ,,,1.2,2,35.7
Copper-nickel,B (Good),B (Good),C71500,,0.7,1.6,23.6
Copper-nickel,B (Good),B (Good),C70600,,1.6,0.8,46
Leaded brass,D (Poor),D (Poor),C38500,,1.9,9.1,51.1
Leaded brass,D (Poor),D (Poor),C36000,,1.4,2.3,41.7
Nickel-silver,B (Good),B (Good),,,3.4,3.4,86.3
Phosphor bronze,B (Good),B (Good),C51000,,1.7,2.8,48.5
Phosphor bronze,B (Good),B (Good),C52100,,1.5,4.1,42.5
Noble metals,0.3,12,P00016,22,7.2,7.1,63.4
Silicon bronze,0.07-0.09  ,2.7-3.6 ,C65500,110-140,1,8.7,31.3
Silicon bronze,0.03 max ,1.2 max ,C65500,,3.3,1.8,84.2
Silicon bronze,0.116-0.236 ,4.6-9.3 ,C65500,130-145,0.8,6.9,26
Silicon bronze,B (Good),B (Good),C65500,,4,3.5,99
Silicon bronze,B (Good),B (Good),C65100,,3.2,9.8,81.8
Tin brass,C (Questionable),C (Questionable),C44300,,1.2,3,35.9
Tin brass,D (Poor),D (Poor),C46400,,0.5,0.1,20.4
Lead and alloys,0.5 max ,20 max ,L50045,24,3.4,5.2,85.2
Lead and alloys,0.25 max ,10 max ,L50045,Room,3,1.5,76.5
Lead and alloys,1.05,42,L50001,20,3.1,0.4,78.3
Lead and alloys,1.23,49,L50001,20,3.2,7,81.7
Lead and alloys,1.33,53,L50001,20,0.8,7.3,25.9
Lead and alloys,1.58,63,L50001,20,1.8,4.6,48.7
Lead and alloys,2.05,82,L50001,20,0.9,6.8,29.3
Lead and alloys,2.45,98,L50001,20,3.5,5.4,89
Lead and alloys,2.65,106,L50001,20,2.7,6.3,69.9
Lead and alloys,2.78,111,L50001,20,1.7,6,46.5
Lead and alloys,3.1,124,L50001,20,0.7,6.7,25.1
Magnesium and alloys,D (Poor),D (Poor),,,1.6,2,44.9
Noble metals,0.05 max ,2 max ,P00016,100,1.6,2.7,46
Noble metals,A (Resistant),A (Resistant),,100,3.1,4.4,78.4
Noble metals,A (Resistant),A (Resistant),P05990,100,2.7,4.5,71
Noble metals,0.05 max ,2 max ,P07010,Boiling,3.6,7.7,91
Tin and alloys,A (Resistant),A (Resistant),,20,2.2,3.7,57.8
Tin and alloys,D (Poor),D (Poor),,60,0.9,1.6,29.6
Tin and alloys,D (Poor),D (Poor),,100,3,2.5,77.1
Tin and alloys,D (Poor),D (Poor),,20,3.2,2.1,80.9
Tin and alloys,D (Poor),D (Poor),,60,2.5,7.3,64.9
Tin and alloys,D (Poor),D (Poor),,100,3.2,4.7,81.7
Tin and alloys,0.07,3,,,2.2,7.1,59.5
Tin and alloys,11,450,,,2.3,4.2,61.8
Nickel,0.81,32,N02200,Boiling,2,8.9,54.2
Nickel,0.71,28,N02200,Boiling,0.6,9.8,22
Nickel,0.084,3.3,N02200,30,0.9,6.7,28.6
Nickel,0.11,4.3,N02200,30,0.6,8.6,22.5
Nickel,0.009,0.36,N02200,116,2.7,5.1,70.9
Nickel,0.25,10,N02200,Room,1.6,9.3,45.1
Nickel,1,40,N02200,Room,2.3,8.3,60.7
Nickel,10,400,N02200,Room,3.7,9.9,92.6
Nickel,0.025,1,N02200,Boiling,1.4,6.2,39.9
Nickel,1.6,63,N02200,Boiling,1.9,7.8,52.8
Nickel,0.11,4.5,N02200,Boiling,3.1,5.4,80.4
Nickel,0.036,1.4,N02200,Boiling,1.3,2.6,38.3
Nickel,0.076,3,N02200,Boiling,0.8,3.5,26.2
Nickel,0.007,0.28,N02200,116,1.5,8.9,43.2
Nickel,0.0025,0.1,N02200,30,1.1,0.6,32.9
Nickel,0.006,0.25,N02200,30,3.8,5.9,94.4
Nickel,0.003,0.13,N02200,30,3.3,3.7,84.6
Nickel-chromium-iron,0.003 max ,0.1 max ,N08800,80,2.7,3.9,70.7
Nickel-chromium-iron,0.003 max ,0.1 max ,N08800,80,3.6,8.8,89.7
Nickel-chromium-iron,0.003 max ,0.1 max ,N08800,80,3.3,8.5,84.3
Nickel-chromium-iron,0.002 max ,0.1 max ,N06601,80,1.2,6,34.9
Nickel-chromium-iron,1.161,45.7,N06601,80,3.6,2.7,91.4
Nickel-chromium-iron,0.554,21.8,N06601,80,2.4,4.8,63.1
Nickel-chromium-iron,0.0013,0.05,N06600,30,3.3,4.1,84.6
Nickel-chromium-iron,0.002,0.08,N06600,116,3.6,3.5,91.7
Nickel-chromium-iron,0.0005,0.02,N06600,30,1.6,1,45.4
Nickel-chromium-iron,0.001,0.04,N08028,150,0.9,5.4,28.8
Nickel-chromium-iron,0.17,6.7,N08028,150,1.3,3,38.2
Nickel-chromium-iron,0.001,0.04,N08028,150,2,6.6,54.2
Nickel-chromium-iron-molybdenum,0.004,0.16,N08825,150,3.4,3.2,85.4
Nickel-chromium-iron-molybdenum,0.2,7.9,N08825,150,3.5,4.3,88.9
Nickel-chromium-iron-molybdenum,0.002,0.08,N08825,150,0.5,0.5,20.6
Nickel-chromium-iron-molybdenum,0.076,3.04,,,2.3,9.9,60.9
Nickel-chromium-iron-molybdenum,0.025,1,,,2,5.1,53.4
Nickel-chromium-iron-molybdenum,0.152,6.08,,,1.3,0.2,37.8
Nickel-chromium-iron-molybdenum,0.102,4.08,,,0.9,5.4,29.6
Nickel-chromium-iron-molybdenum,0.686,27.44,,,1.7,8.7,47
Nickel-chromium-iron-molybdenum,0.711,28.44,,,3.8,7.7,95.4
Nickel-chromium-iron-molybdenum,0.018,0.7,N08825,127,1.6,7,45.9
Nickel-chromium-iron-molybdenum,0.038,1.5,N08825,110-143,2.3,1.4,61.5
Nickel-chromium-iron-molybdenum,0.152,6,N08825,124,3,6.6,76.2
Nickel-chromium-iron-molybdenum,0.079,3.1,N08825,110-127,1.8,7.7,49.1
Nickel-chromium-iron-molybdenum,0.051,2,N08825,174,3.9,5.7,97.7
Nickel-chromium-iron-molybdenum,0.005,0.2,N08825,107,3.9,8.9,97
Nickel-chromium-iron-molybdenum,0.008,0.3,N08825,116-135,1.4,2.8,40.1
Nickel-chromium-iron-molybdenum,0.0152-0.016 ,0.60-0.63 ,N08825,Boiling,2.2,2.4,59.8
Nickel-chromium-iron-molybdenum,0.03,1.2,N06007,Boiling,1.6,8.7,44.1
Nickel-chromium-iron-molybdenum,0.011-0.014 ,0.43-0.54 ,N06007,Boiling,1.5,6.3,42.8
Nickel-chromium-iron-molybdenum,0.005,0.2,N06975,Boiling,0.6,0,23
Nickel-chromium-iron-molybdenum,0.015,0.6,N06985,Boiling,2.6,3.5,68.8
Nickel-chromium-molybdenum-(tungsten),0.03,1,N06625,Boiling,2.3,8.6,60.2
Nickel-chromium-molybdenum-(tungsten),0.02 max ,0.6 max ,N06625,Boiling,0.7,0.3,24.1
Nickel-chromium-molybdenum-(tungsten),0.01,0.4,N06625,Boiling,1.5,0,42.3
Nickel-chromium-molybdenum-(tungsten),0.03 max ,1 max ,N06690,80,3.7,2.8,92.7
Nickel-chromium-molybdenum-(tungsten),0.03 max  ,1 max  ,N06690,80,1.3,9.1,39.2
Nickel-copper,2.1,84,N04400,Boiling,1,9,31.6
Nickel-chromium-molybdenum-(tungsten),0.01-0.019 ,,N06625,Boiling,2.2,5.2,59.2
Nickel-chromium-molybdenum-(tungsten),0.39,0.77,N06625,Boiling,3.9,5.5,98.9
Nickel-chromium-molybdenum-(tungsten),0.01,0.4,N06625,Boiling,1.3,3.3,39.4
Nickel-chromium-molybdenum-(tungsten),0.049,1.93,N10002,150,2.9,2.4,73.8
Nickel-chromium-molybdenum-(tungsten),0.076,3,N10002,150,3.2,8.2,80.9
Nickel-chromium-molybdenum-(tungsten),0.073,2.88,N10002,150,1.3,1.1,39
Nickel-chromium-molybdenum-(tungsten),0.0076,0.3,N10276,Boiling,3,4.9,78.3
Nickel-chromium-molybdenum-(tungsten),0.011-0.0114 ,0.41-0.45 ,N10276,Boiling,1.8,6.3,49.4
Nickel-chromium-molybdenum-(tungsten),0.0005,0.02,N06455,Boiling,2.7,1,70.6
Nickel-chromium-molybdenum-cobalt,0.015,0.6,R30035,Boiling,2.7,5.2,70.7
Nickel-copper,2.97,117,N04400,Boiling,2.4,5.8,62.9
Nickel-copper,0.9,36,N04400,Boiling,0.8,7.4,27.2
Nickel-copper,0.008,0.33,N04400,30,3.4,2.3,86.8
Nickel-copper,0.01,0.41,N04400,30,1.6,2.9,45.7
Nickel-copper,0.019,0.74,N04400,30,1.2,5.7,34.9
Nickel-copper,0.009,0.36,N04400,30,0.6,9.8,23.3
Nickel-copper,0.006,0.23,N04400,30,2.6,2.2,67.3
Nickel-copper,0.004,0.15,N04400,116,2.9,9.9,74.2
Nickel-copper,0.05,2,N04400,Boiling,0.6,7.1,21.3
Nickel-copper,0.015,0.6,N04400,Boiling,2.3,8.3,61
Nickel-copper,0.0025,0.1,N04400,Boiling,1.3,0.9,38.1
Nickel-copper,0.025,1,N04400,Boiling,2.8,3,71.6
Nickel-copper,0.0008,0.03,N04400,30,1.1,0.6,33.9
Nickel-copper,0.0025,0.1,N04400,30,2.9,3.7,75.3
Nickel-copper,0.0008,0.03,N04400,116,1.9,9.8,50.9
Nickel-copper,0.002,0.08,N04400,30,3.8,1.1,94.9
Nickel-copper,0.002,0.08,N04400,30,1,5.6,31
Nickel-copper,0.0013,0.05,N04400,30,1.7,0.1,47.3
Nickel-copper,0.002,0.08,N04400,30,0.9,7.1,29.1
Nickel-molybdenum,0.02 max ,0.5 max ,N10665,Boiling,3.7,2,94
Nickel-molybdenum,0.01,0.4,N10665,Boiling,3.6,1.3,90.2
Nickel-molybdenum,0.01,0.4,N10665,Boiling,1.4,3.4,40.6
Nickel-molybdenum,0.01 max ,0.3 max ,N10665,Boiling,2.8,7.7,72.8
Nickel-molybdenum,0.01 max ,0.3 max ,N10665,Boiling,3.4,1.1,85.4
Nickel-molybdenum,0.03,1.2,N10665,Boiling,2.4,2.3,64.4
Nickel-molybdenum,0.0112-0.013 ,0.44-0.50 ,N10665,Boiling,2.4,0.1,62.4
Cobalt and alloys,A (Resistant),A (Resistant),,Boiling,1.3,9.7,39.3
Titanuim and alloys,A (Resistant),A (Resistant),,Boiling,0.8,5.9,27.4
Cobalt and alloys,0.002,0.1,,Boiling,3.6,7.2,91.8
Cobalt and alloys,0.1,4,,Boiling,3.7,6.5,92
Cobalt and alloys,0.007,0.3,,Boiling,2.7,1.4,70.6
Cobalt and alloys,0.002,0.1,,Boiling,1.7,5.9,47.1
Cobalt and alloys,A (Resistant),A (Resistant),,Boiling,1.7,1.3,47.9
Cobalt and alloys,0.002,0.1,,Boiling,3,4,78.1
Cobalt and alloys,A (Resistant),A (Resistant),,Boiling,3.6,5.7,91.8
Cobalt and alloys,0.007,0.3,,Boiling,3.6,5.6,91
Cobalt and alloys,0.007,0.3,,Boiling,3.2,1.2,82.4
Cobalt and alloys,0.007,0.3,,Boiling,2.7,0.3,71.4
Cobalt and alloys,0.01,0.4,,Boiling,0.8,8,26.7
Cobalt and alloys,0.05,2,,25,1.1,7.3,32.9
Cobalt and alloys,0.078,3.1,R30004,Boiling,3.6,0.8,91.9
Cobalt and alloys,0.005,0.2,R30188,Boiling,2.6,1.3,68.5
Cobalt and alloys,0.017,0.67,R30021,Boiling,0.5,8.9,20.7
Cobalt and alloys,0.0056,0.22,R30605,Boiling,0.9,7.7,28.1
Cobalt and alloys,0.005,0.2,R30556,Boiling,2.8,10,73.1
Cobalt and alloys,0.0008,0.03,,Boiling,0.5,2.5,20.4
Cobalt and alloys,A (Resistant),A (Resistant),R30605,Room,1.1,4.9,32.9
Cobalt and alloys,A (Resistant),A (Resistant),R30605,Room,2.4,2.4,63.9
Cobalt and alloys,A (Resistant),A (Resistant),R30605,Room,2.9,6.2,75.4
Cobalt and alloys,A (Resistant),A (Resistant),R30605,66,2.8,1.2,72.2
Cobalt and alloys,A (Resistant),A (Resistant),R30605,66,1.3,1.3,37.9
Cobalt and alloys,A (Resistant),A (Resistant),R30605,66,3,0.7,77
Cobalt and alloys,0.01 max ,0.1 max ,R30605,Boiling,1.3,6.9,39
Cobalt and alloys,0.01 max ,0.1 max ,R30605,Boiling,1.6,4.9,46
Cobalt and alloys,A (Resistant),A (Resistant),R30605,Boiling,3.1,6.2,79.7
Cobalt and alloys,A (Resistant),A (Resistant),R30155,Room,2.8,8.8,72
Cobalt and alloys,A (Resistant) ,A (Resistant) ,R30155,Room,3.5,7.4,87.9
Cobalt and alloys,A (Resistant),A (Resistant),R30155,Room,2.8,4.6,72.6
Cobalt and alloys,A (Resistant),A (Resistant),R30155,66,2.5,9.8,65.5
Cobalt and alloys,A (Resistant),A (Resistant),R30155,66,0.8,4.6,27.5
Cobalt and alloys,A (Resistant),A (Resistant),R30155,66,1.8,1.1,49.4
Cobalt and alloys,0.01 max ,0.1 max ,R30155,Boiling,1.4,9.9,41.2
Cobalt and alloys,0.01 max ,0.1 max ,R30155,Boiling,1.4,0.2,39.5
Cobalt and alloys,0.01 max ,0.1 max ,R30155,Boiling,3.9,5.5,97.8
Niobium and alloys,A (Resistant),A (Resistant),R04210,Boiling,1.9,3.1,51.4
Tantalum and alloys,A (Resistant),A (Resistant),R05210,100,3.6,5,91.4
Titanium and alloys,A (Resistant),A (Resistant),,124,2.7,5.6,70.5
Titanium and alloys,A (Resistant),A (Resistant),,Boiling,3.3,2.4,83.6
Titanium and alloys,0.003,0.12,,Boiling,2.3,5.6,60.2
Titanium and alloys,0.003,0.12,,121,2.5,7.6,66.2
Titanium and alloys,0.381,15.24,,130,2.2,2.7,59.4
Titanium and alloys,0.003,0.12,,124,1.2,3.8,35.6
Titanium and alloys,A (Resistant),A (Resistant),,Boiling,3,2.7,77.8
Titanium and alloys,0.005,0.2,,204,1.5,8.2,42.5
Titanium and alloys,0.272,10.88,,Boiling,0.6,7.2,21.9
Titanium and alloys,0.259,10.36,,Boiling,2.8,8.7,71.6
Titanium and alloys,1.02,40.8,,204,1.1,1.7,34.2
Titanium and alloys,0.457,18.28,,Boiling,3.8,0.7,95.2
Titanium and alloys,A (Resistant),A (Resistant),R53400,Boiling,3.8,1.2,96.3
Titanium and alloys,A (Resistant),A (Resistant),,Boiling,3.7,1.6,93.2
Zirconium and alloys,0.025 max ,1 max ,R60702,3595-Boiling,1.8,5.3,49.6
Zirconium and alloys,0.025 max ,1 max ,R60702,160,0.6,9.7,21.2
Zirconium and alloys,0.13 max ,5 max ,R60702,Boiling,3.7,3.6,94.3
Zirconium and alloys,0.025 max ,1 max ,R60702,200,2,9.6,54.3
Zirconium and alloys,0.025 max ,1 max ,R60702,200,3.9,0.4,97.3
Zirconium and alloys,0.025 max ,1 max ,R60702,100,3.9,9.3,97.1
Zirconium and alloys,0.025 max ,1 max ,R60702,150,3.5,1.8,88.2
Zirconium and alloys,0.025 max ,1 max ,R60702,150,1.5,9.1,43.6
Zirconium and alloys,0.025 max ,1 max ,R60702,100,1.8,0.6,50.8
Zirconium and alloys,0.025 max ,1 max ,R60702,100,3.5,9.5,88.1
Zirconium and alloys,0.025 max ,1 max ,R60702,100,1.6,2,45.4
Zirconium and alloys,0.025 max ,1 max ,R60702,150,1.1,3,33.6
Zirconium and alloys,0.025 max ,1 max ,R60702,150,2.4,4.9,64.5
Zirconium and alloys,1 mA (Resistant)x,0.025 1 mA (Resistant)x,R60702,300,3.8,3.8,94.9
Zirconium and alloys,0.025 max ,1 max ,R60702,160,2.9,6.7,75.7
Zirconium and alloys,0.025 max ,1 max ,R60702,200,2.5,9.7,65.6
Zirconium and alloys,0.025 max ,1 max ,R60702,Boiling,0.8,6.1,27.8
Zirconium and alloys,5 min ,200 min ,R60702,Boiling,2.7,7.2,69.2
Zirconium and alloys,0.025 max ,1 max ,R60702,40,4,0.9,99.2
Zirconium and alloys,0.025 max ,1 max ,R60705,3595-Boiling,1,6.3,31.2
Zirconium and alloys,0.025 max ,1 max ,R60705,200,2.3,4.5,61.5
Zirconium and alloys,0.025 max ,1 max ,R60705,100,3.6,8.9,90.2
Zirconium and alloys,0.025 max ,1 max ,R60705,150,3.1,3.9,79.3
Zirconium and alloys,0.025 max ,1 max ,R60705,150,2.9,6.8,75.8
Zirconium and alloys,0.025 max ,1 max ,R60705,100,3,2.3,76.2
Zirconium and alloys,0.025 max ,1 max ,R60705,100,1.8,2.6,48.8
Zirconium and alloys,0.025 max ,1 max ,R60705,100,1.5,3.8,43.5
Zirconium and alloys,0.025 max ,1 max ,R60705,150,3.3,3,84.7
Zirconium and alloys,0.025 max ,1 max ,R60705,150,3.3,2.5,84.8
Zirconium and alloys,0.025 max ,1 max ,R60705,150,3.5,0.5,89.4
Zirconium and alloys,0.025 max ,1 max ,R60705,Boiling,3.7,8.4,93.1
Zirconium and alloys,5 min ,200 min ,R60705,Boiling,2.3,0.6,60.9
Titanium and alloys,0.005 max ,0.2 max ,,100,2.3,8.9,60.1
Austenitic,0.102,4,J95150,106,3.3,1.3,83.9
Austenitic,0.102,4,J95150,110,2.8,0.7,72
Austenitic,0.127,5,J95150,116,3,5.6,76.2
Austenitic,0.203,8,J95150,122,3.3,5,83.7
Austenitic,0.05,2,J95150,128,3.6,4.9,91.2
Austenitic,0.013,0.5,J95150,130,1.7,5.7,47
Austenitic,A (Resistant),A (Resistant),S30100,20,1.8,2.9,50
Austenitic,A (Resistant),A (Resistant),S30100,Boiling,0.8,6.6,27.5
Austenitic,A (Resistant),A (Resistant),S30100,20,2.5,5,66.3
Austenitic,B (Good),B (Good),S30100,Boiling,0.6,3.3,22.9
Austenitic,A (Resistant),A (Resistant),S30100,20,2.1,8.3,57.2
Austenitic,B (Good),B (Good),S30100,Boiling,2.4,7.3,63.4
Austenitic,A (Resistant),A (Resistant),S30100,20,1.5,3.9,42.9
Austenitic,A (Resistant),A (Resistant),S30100,Boiling,2.6,8.5,67.3
Austenitic,A (Resistant),A (Resistant),S30100,20,0.6,9.2,22.4
Austenitic,A (Resistant),A (Resistant),S30100,50,0.6,5.4,23
Austenitic,A (Resistant),A (Resistant),S30100,90,3.4,2.1,85.8
Austenitic,A (Resistant),A (Resistant),S30200,20,1.8,9.2,48.8
Austenitic,A (Resistant),A (Resistant),S30200,Boiling,0.9,1.9,30.2
Austenitic,A (Resistant),A (Resistant),S30200,20,2.3,0.5,61.8
Austenitic,B (Good),B (Good),S30200,Boiling,3.2,3.3,81.6
Austenitic,A (Resistant),A (Resistant),S30200,20,1.3,7.3,37.3
Austenitic,B (Good),B (Good),S30200,Boiling,2.7,9.2,69.8
Austenitic,A (Resistant),A (Resistant),S30200,20,0.8,6.4,26.8
Austenitic,A (Resistant),A (Resistant),S30200,Boiling,0.7,9.5,24.1
Austenitic,A (Resistant),A (Resistant),S30200,20,2.4,0.9,62.5
Austenitic,A (Resistant),A (Resistant),S30200,50,2.4,0.6,63.3
Austenitic,A (Resistant),A (Resistant),S30200,90,2.7,6,71
Austenitic,A (Resistant),A (Resistant),S30300,20,3,9.7,78.1
Austenitic,A (Resistant),A (Resistant),S30300,20,3.9,5,98.1
Austenitic,C (Questionable),C (Questionable),S30300,Boiling,2.3,0.5,61.3
Austenitic,A (Resistant),A (Resistant),S30300,Boiling,1.6,2.2,45.8
Austenitic,B (Good),B (Good),S30300,20,3.3,2.4,83.6
Austenitic,A (Resistant),A (Resistant),S30300,20,1.4,3.4,41.7
Austenitic,C (Questionable),C (Questionable),S30300,Boiling,2,0.4,55.1
Austenitic,B (Good),B (Good),S30300,Boiling,0.8,9,26.3
Austenitic,A (Resistant),A (Resistant),S30300,20,0.6,5.2,22
Austenitic,A (Resistant),A (Resistant),S30300,20,3.9,6.7,97
Austenitic,C (Questionable),C (Questionable),S30300,Boiling,3.4,0.7,86.9
Austenitic,B (Good),B (Good),S30300,Boiling,2.9,0.5,75.7
Austenitic,A (Resistant),A (Resistant),S30300,20,1.9,5.9,52.7
Austenitic,A (Resistant),A (Resistant),S30300,20,1.1,8.9,33.9
Austenitic,B (Good),B (Good),S30300,Boiling,1,5.3,32.5
Austenitic,A (Resistant),A (Resistant),S30300,Boiling,1.4,8.8,40
Austenitic,A (Resistant),A (Resistant),S30300,20,2.4,8.1,63.9
Austenitic,A (Resistant),A (Resistant),S30300,20,3,0.8,77.2
Austenitic,A (Resistant),A (Resistant),S30300,50,2.8,2,72.8
Austenitic,A (Resistant),A (Resistant),S30300,50,1.5,6.6,42.4
Austenitic,B (Good),B (Good),S30300,90,3.8,4.4,96.4
Austenitic,A (Resistant),A (Resistant),S30300,90,3.1,2.9,79
Austenitic,0.76,30,S30400,Boiling,2.4,4.2,64.3
Austenitic,0.081,3.2,S30400,Boiling,2.6,4.5,68.9
Austenitic,A (Resistant),A (Resistant),S30400,Boiling,2,9.1,53.6
Austenitic,A (Resistant),A (Resistant),S30400,15,1.4,1,39.8
Austenitic,B (Good),B (Good),S30400,Boiling,1.7,2.8,48.5
Austenitic,A (Resistant),A (Resistant),S30400,21,3.2,5.4,80.6
Austenitic,B (Good),B (Good),S30400,Boiling,0.6,7,21.2
Austenitic,7.5,300,S30400,,0.9,6.3,29.3
Austenitic,A (Resistant),A (Resistant),S30400,20,0.7,9.4,23.7
Austenitic,A (Resistant),A (Resistant),S30400,Boiling,0.6,8,23.3
Austenitic,A (Resistant),A (Resistant),S30400,20,3.5,5.6,88.4
Austenitic,B (Good),B (Good),S30400,Boiling,3,2.1,76.3
Austenitic,A (Resistant),A (Resistant),S30400,20,2.2,4.5,57.9
Austenitic,B (Good),B (Good),S30400,Boiling,0.8,6.9,27.8
Austenitic,A (Resistant),A (Resistant),S30400,20,2.2,8.4,59.3
Austenitic,A (Resistant),A (Resistant),S30400,Boiling,2.2,9.6,57.9
Austenitic,A (Resistant),A (Resistant),S30400,21,1.1,6.1,33.9
Austenitic,A (Resistant),A (Resistant),S30400,21,2,5.3,54.7
Austenitic,1.68,66,S30400,116,1.9,0.2,51.9
Austenitic,1.07,42,S30400,122,2.7,0.7,69.3
Austenitic,0.18,7,S30400,128,2.7,1.6,70.8
Austenitic,0.75,30,S30400,Boiling,0.7,0.5,23.6
Austenitic,,,S30400,Boiling,1.8,4,50
Austenitic,D (Poor),D (Poor),S30400,106,2.7,3.4,70.1
Austenitic,6.86,270,S30400,Boiling,2.3,6.4,60.3
Austenitic,A (Resistant),A (Resistant),S30400,20,3.5,5.4,88.5
Austenitic,A (Resistant),A (Resistant),S30400,50,2.8,6,72.7
Austenitic,A (Resistant),A (Resistant),S30400,90,1.1,4.7,33
Austenitic,0.275,11,S30400,Boiling,0.7,2.8,25.6
Austenitic,0.0025,0.1,S31600,Boiling,2.7,9.5,71.4
Austenitic,0.0076,0.3,S31600,Boiling,0.6,0.9,22.1
Austenitic,0.013,0.5,S31600,Boiling,2.6,9.4,66.9
Austenitic,A (Resistant),A (Resistant),S31600,Boiling,3.8,3.1,95.2
Austenitic,A (Resistant),A (Resistant),S31600,15,2.5,5.1,66
Austenitic,B (Good),B (Good),S31600,Boiling,1.9,1.1,51.1
Austenitic,A (Resistant),A (Resistant),S31600,21,2.8,0.7,71.5
Austenitic,B (Good),B (Good),S31600,Boiling,2.1,4.3,56.7
Austenitic,0.05,2,S31600,,2.4,7.4,63.6
Austenitic,A (Resistant),A (Resistant),S31600,20,3.8,2.7,95.3
Austenitic,A (Resistant),A (Resistant),S31600,Boiling,1.9,5.6,50.9
Austenitic,A (Resistant),A (Resistant),S31600,20,3.9,2.8,96.9
Austenitic,A (Resistant),A (Resistant),S31600,Boiling,3.7,3.9,92.4
Austenitic,A (Resistant),A (Resistant),S31600,20,1.2,9.1,35.7
Austenitic,B (Good),B (Good),S31600,Boiling,0.7,8.6,25.5
